feature,score
log1p_steamspy_players,0.6676631127509047
log1p_steamspy_play_var,0.6591291978480927
players_rank,0.6540901369459693
own_var_rank,0.5427585032769366
log1p_ownership_upper,0.5338888797866277
owners_rank,0.5334072062163813
log1p_steamspy_owners,0.5277543261505482
var_x_owners,0.5272074913146909
log1p_ownership_lower,0.5263061769764823
variance_to_owners_ratio,0.522929073551591
log1p_steamspy_own_var,0.5225295044356963
engagement_ratio,0.2419364901906027
ResponseID,0.22216010464700986
QueryID,0.21585908350989325
owners_x_multiplayer,0.21317689956784225
owners_x_has_metacritic,0.200844289300961
players_x_metacritic,0.18078878718207303
release_age_days,0.16496964452779483
owners_x_metacritic,0.16462022989187286
metacritic_score,0.11599316401873505
has_metacritic,0.10913238443283602
content_score,0.10867711082652765
release_year,0.10597333225030336
PCMinReqsText_len,0.09068985509623051
log1p_achievement_count,0.0858923002017713
log1p_dlc_count,0.08192726023427577
log1p_price_initial,0.08082894203422519
log1p_price_final,0.07390827291723312
DetailedDescrip_len,0.06356942189917092
AboutText_len,0.06131874294862438
log1p_package_count,0.05761953821423038
log1p_screenshot_count,0.05535662573344968
log1p_achievement_hl,0.05491149769577408
lang_x_multiplayer,0.049227070110931415
log1p_movie_count,0.04775151375708564
required_age,0.04426820146071497
CategoryMultiplayer,0.04089722039702259
release_month,0.04063578639497756
price_free_mismatch,0.0399530862530586
log1p_lang_count,0.03979318980394009
is_multiplayer,0.03855917305173939
has_reviews,0.034665163674474364
lang_count,0.03465339047865079
PCRecReqsText_len,0.034482395777966524
ShortDescrip_len,0.033106151828787844
is_mature,0.03285272241395454
is_multilingual,0.029561743183708078
Reviews_len,0.028315244126949857
GenreIsCasual,0.027304227823069294
is_premium,0.026046534447826897
CategoryCoop,0.025162390309049876
release_dayofweek,0.024716208028567443
PCReqsHaveMin,0.022478292451713955
Reviews_has,0.02213243639839879
log1p_publisher_count,0.021721933671466687
GenreIsFreeToPlay,0.021159844453695342
IsFree,0.019599118184049136
ShortDescrip_has,0.01871235939665361
PCMinReqsText_has,0.0184752948258069
PCReqsHaveRec,0.017772631523927274
log1p_developer_count,0.017027556205806427
ControllerSupport,0.01660312422130028
has_website,0.015629438554424446
CategorySinglePlayer,0.015337593282624518
GenreIsRPG,0.015303542040355556
AboutText_has,0.014981302061752189
PurchaseAvail,0.014635045462384255
LinuxReqsHaveMin,0.01430886796455999
DetailedDescrip_has,0.01400525237142869
is_free,0.012832632820691803
DemoCount,0.01246483844589319
GenreIsNonGame,0.012398241107014929
currency_USD,0.01166864858302663
CategoryIncludeLevelEditor,0.011055269356870845
PlatformMac,0.010711140134897157
LinuxReqsHaveRec,0.009492632222097619
action_x_multiplayer,0.00944933012283622
GenreIsEarlyAccess,0.008935544182911759
CategoryMMO,0.008823138488064597
GenreIsIndie,0.008582245368617514
